ann_id,item_id,claim_text,cited_paper_doi,evidence_mode,label_A,conf_A,note_A,label_B,conf_B,note_B,label_C,conf_C,note_C,majority_label,unanimous,construction_category,expected_label,expected_agree,needs_adjudication
ann-46,hss-wrong_paper-02,"In choosing the statements representative of each factor, we checked, firstly, if the statement had been rated significantly higher (or lower) in a factor relative to other factors.",10.14746/ssllt.2022.12.1.4,no_match,unsupported,high,"The cited Aubrey (2022) paper returns 0 hits for 'statements', 'representative of each factor' and 'rated significantly higher', so it does not address this procedure for choosing statements representative of each factor.",unsupported,high,"Passage is ""No matching passage found in the cited paper""; the cached Aubrey paper returns zero hits for ""representative of each factor"", ""rated significantly higher"" and ""Q method"", so this Q-sort procedure is not described in it.",unsupported,high,"The passage says 'No matching passage found' and the cited communication mode paper's cached text contains no 'representative of each factor' or 'rated significantly higher', so the citation does not address the claim.",unsupported,True,wrong_paper,unsupported,True,False
ann-47,hss-wrong_paper-08,We also sent the transcripts to our participants for member checking and approval.,10.29140/jaltcall.v18n2.632,no_match,unsupported,medium,"The cited Rahimi and Tafazoli (2022) paper returns 0 hits for 'member check' and 'transcript', so it does not address sending transcripts to participants for member checking and approval.",unsupported,high,"Passage is ""No matching passage found in the cited paper""; the cached Rahimi and Tafazoli paper returns zero hits for ""member check"", ""transcript"" and even ""interview"", so it does not report sending transcripts to participants.",unsupported,high,"The passage says 'No matching passage found' and the cited digital competence paper's cached text contains no occurrence of 'member check', 'transcript' or even 'interview', so the citation does not address the claim.",unsupported,True,wrong_paper,unsupported,True,False
ann-48,hss-paraphrase-03,"Rather, language teaching can be viewed as a dynamic process that engages learners’ multiple meaning-making resources (Mazak, 2017).",10.18806/tesl.v36i1.1301,passage,verified,high,"The paper reads 'language teaching can be viewed as a dynamic process that engages students' multiple meaning-making resources (Mazak, 2017)', which differs from the claim only in 'learners'' for 'students''.",verified,high,"Paper reads ""language teaching can be viewed as a dynamic process that engages students' multiple meaning-making resources (Mazak, 2017)"", the same statement with ""students'"" for ""learners'"".",verified,high,"The passage reads 'language teaching can be viewed as a dynamic process that engages students' multiple meaning-making resources (Mazak, 2017)', which supports the claim with only 'learners'' substituted for 'students''.",verified,True,paraphrase,verified,True,False
ann-49,hss-altered-07,"Such findings indicate that as the students’ use of memory and affective strategies decreases, their EFL achievement tends to decrease, whereas their greater use of cognitive strategies causes an increase in their EFL achievement.",10.17323/jle.2021.10771,passage,unsupported,high,"The paper states 'as the students' use of memory and affective strategies increases, their EFL achievement tends to decrease', contradicting the claim's 'decreases'.",unsupported,high,"Paper says ""as the students' use of memory and affective strategies increases, their EFL achievement tends to decrease"", contradicting the claim's ""decreases"".",unsupported,high,"The paper says 'as the students' use of memory and affective strategies increases, their EFL achievement tends to decrease', contradicting the claim's 'decreases'.",unsupported,True,altered,unsupported,True,False
ann-50,hss-altered-14,"The data were analyzed descriptively; the results showed that few teachers are not satisfied with the coursebooks, crowded classes, quite limited class hours, and unmotivated students.",10.32601/ejal.543778,passage,unsupported,high,"The paper says 'most teachers are not satisfied with the coursebooks, crowded classes, quite limited class hours, and unmotivated students', contradicting the claim's 'few teachers'.",unsupported,high,"Paper says ""most teachers are not satisfied with the coursebooks, crowded classes, quite limited class hours, and unmotivated students"", contradicting the claim's ""few teachers"".",unsupported,high,"The paper says 'most teachers are not satisfied with the coursebooks', contradicting the claim's 'few teachers are not satisfied'.",unsupported,True,altered,unsupported,True,False
ann-51,hss-no_full_text-02,"Following one EFL teacher for seven months allowed researchers to observe the evolution of her strategies using ChatGPT as they improved over time and, thus, the effectiveness of ChatGPT for her teaching purposes.",10.29140/tltl.v6n1.1142,withheld,no_full_text,high,The item shows the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path for it.,no_full_text,high,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and no cached path is listed for it.",no_full_text,high,The row carries the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path.,no_full_text,True,no_full_text,no_full_text,True,False
ann-52,hss-altered-10,"The internationalization of higher education—driven by political, economic, and sociocultural dimensions (Maringe, 2010)—has resulted in a steady decrease in the number of linguistically and culturally diverse students in Canadian educational institutions.",10.18806/tesl.v36i1.1301,passage,unsupported,high,"The passage says internationalization 'has resulted in a steady increase in the number of linguistically and culturally diverse students in Canadian educational institutions', contradicting the claim's 'steady decrease'.",unsupported,high,"Paper says internationalization ""has resulted in a steady increase in the number of linguistically and culturally diverse students in Canadian educational institutions"", the opposite of the claim's ""steady decrease"".",unsupported,high,"The passage says internationalization 'has resulted in a steady increase in the number of linguistically and culturally diverse students in Canadian educational institutions', contradicting the claim's 'steady decrease'.",unsupported,True,altered,unsupported,True,False
ann-53,hss-no_full_text-01,"Furthermore, the path between CREAT and PBC showed that teachers with a higher level of digital content creation have more capability to employ ICTs.",10.29140/jaltcall.v18n2.632,withheld,no_full_text,high,The item shows the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path for it.,no_full_text,high,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and no cached path is listed for it.",no_full_text,high,The row carries the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path.,no_full_text,True,no_full_text,no_full_text,True,False
ann-54,hss-over_specified-07,"In the present study, PQ Method (Schmolck, 2002) was employed to produce the initial by-person correlation matrix, using eye-tracking software.",10.14746/ssllt.2022.12.1.3,passage,needs_nuance,high,"The paper contains 'In the present study, PQ Method (Schmolck, 2002) was employed to produce the initial by-person correlation matrix' but 0 hits for 'eye-track', so the claim's added 'using eye-tracking software' is not stated.",needs_nuance,high,"The paper contains ""PQ Method (Schmolck, 2002) was employed to produce the initial by-person correlation matrix"" verbatim, but the added instrument ""using eye-tracking software"" is absent, with zero hits for eye-tracking in the cached text.",needs_nuance,high,"The paper's sentence ends at 'to produce the initial by-person correlation matrix' and its cached text has no hit for 'eye-track', so the claim's added instrument 'using eye-tracking software' is not stated by the cited paper.",needs_nuance,True,over_specified,needs_nuance,True,False
ann-55,hss-over_specified-01,"The activities were reported useful (e.g., increased GELT awareness, positive attitudes toward GELT, and willingness to learn more about GELT) to help teachers understand GELT even though the concepts were not taught explicitly, during the winter semester.",10.55593/ej.26103a1,passage,needs_nuance,high,"The GELT activities sentence appears verbatim in the paper, which returns 0 hits for 'winter' and 'semester', so the claim's added time window 'during the winter semester' is not stated.",needs_nuance,high,"The sentence about activities ""reported useful"" for GELT awareness appears verbatim, but the added time window ""during the winter semester"" is absent, with zero hits for ""winter"" and ""semester"" in the cached text.",needs_nuance,high,"The paper's sentence ends at 'even though the concepts were not taught explicitly' and its cached text contains no occurrence of 'winter' or 'semester', so the claim's added time window 'during the winter semester' is not stated by the cited paper.",needs_nuance,True,over_specified,needs_nuance,True,False
ann-56,hss-wrong_paper-05,"The effect of compensation, metacognitive, and social strategies was also positive but insignificant.",10.17323/jle.2021.11494,no_match,unsupported,high,"The cited Alqarni (2021) well-being paper returns 0 hits for 'compensation', 'metacognitive' and 'insignificant', so it does not address the claimed effects of those strategy types.",unsupported,high,"Passage is ""No matching passage found in the cited paper""; the cached Alqarni well-being study returns zero hits for ""compensation"" and ""metacognitive"", so it does not report effects of these learning strategies.",unsupported,high,"The passage says 'No matching passage found' and the cited well-being and stress paper's cached text contains no 'compensation', 'metacognitive' or 'social strategies', so the citation does not address the claim.",unsupported,True,wrong_paper,unsupported,True,False
ann-57,hss-altered-15,A cross-genre analysis of the findings reveals that the total number of interpersonal metadiscourse features (normalized per 1370 words) is higher in BR sub-corpus (76.26) than in RA sub-corpus (44.09).,10.32601/ejal.710204,passage,unsupported,high,"The paper reports the interpersonal metadiscourse totals as 'normalized per 1000 words', not the claim's 'normalized per 1370 words'.",unsupported,medium,"Paper says the interpersonal metadiscourse totals are ""normalized per 1000 words"", contradicting the claim's ""per 1370 words"", even though the figures 76.26 and 44.09 and the BR over RA direction match.",unsupported,high,"The paper normalizes the interpersonal metadiscourse counts 'per 1000 words', contradicting the claim's 'per 1370 words'.",unsupported,True,altered,unsupported,True,False
ann-58,hss-verbatim-03,"When exposed to a perspective of dynamic bilingualism—one that visibly challenged prior experiences and beliefs—throughout their time in class, TCs began to speak of enhanced understanding of bilingualism and increased feelings of empowerment (both for themselves and others).",10.55593/ej.25100a3,passage,verified,high,"The passage repeats the claim verbatim, including 'TCs began to speak of enhanced understanding of bilingualism and increased feelings of empowerment'.",verified,high,"The passage repeats the claim word for word, including ""increased feelings of empowerment (both for themselves and others)"".",verified,high,"The passage repeats the claim word for word, including 'enhanced understanding of bilingualism and increased feelings of empowerment'.",verified,True,verbatim,verified,True,False
ann-59,hss-verbatim-01,"The results demonstrated a significant difference between the scores of two tests both in control and DI groups, which suggests that both traditional instruction and DI gave rise to an increment in students’ L2 overall achievement.",10.32601/ejal.776002,passage,verified,high,"The passage repeats the claim verbatim, including 'both traditional instruction and DI gave rise to an increment in students' L2 overall achievement'.",verified,high,"The passage repeats the claim word for word, including ""both traditional instruction and DI gave rise to an increment in students' L2 overall achievement"".",verified,high,"The passage repeats the claim word for word, including 'both traditional instruction and DI gave rise to an increment in students' L2 overall achievement'.",verified,True,verbatim,verified,True,False
ann-60,hss-no_full_text-05,The difference in the use of hedges were also found to be statistically significant between two genres as RAs contained remarkably more hedging devices compared to BRs.,10.32601/ejal.710204,withheld,no_full_text,high,The item shows the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path for it.,no_full_text,high,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and no cached path is listed for it.",no_full_text,high,The row carries the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path.,no_full_text,True,no_full_text,no_full_text,True,False
